stamp_s,phase,vt_s,warp,settle_blend,motor_id,q,q_des,err,qd,qd_des,qd_err,kp,kd,j_eff,tau_ff,tau_meas,pd_tau,total_tau,hold_ref_source,q_final,q_final_err,settle_vel_brake
1782898564.639299,trajectory,0.163449,1.000000,0.000000,5,0.001726151,0.000828173,-0.000897978,0.012588501,-0.022980398,-0.035568899,15.000000,1.500000,,0.019017050,-0.033539772,-0.066823013,-0.047805963,q_final,,,1.000000
1782898564.639299,trajectory,0.163449,1.000000,0.000000,6,-0.009778976,-0.008802893,0.000976083,-0.039779663,0.010629866,0.050409529,12.000000,1.000000,,-0.014618339,0.012603760,0.062122530,0.047504191,q_final,,,1.000000
1782898564.651298,trajectory,0.175439,1.000000,0.000000,1,0.008245468,0.008991516,0.000746048,-0.198062897,0.012443430,0.210506327,35.000000,5.000000,,-0.815161063,0.044357300,1.078643319,0.263482256,q_final,,,1.000000
1782898564.651298,trajectory,0.175439,1.000000,0.000000,2,-0.012846947,-0.010985089,0.001861858,0.071716309,-0.000917812,-0.072634121,25.000000,5.800000,,0.153427316,0.174865723,-0.374731456,-0.221304140,q_final,,,1.000000
1782898564.651298,trajectory,0.175439,1.000000,0.000000,3,0.013613701,0.008612925,-0.005000776,0.000671387,-0.019448716,-0.020120102,40.000000,4.830000,,0.408280342,-0.177692413,-0.297211128,0.111069214,q_final,,,1.000000
1782898564.651298,trajectory,0.175439,1.000000,0.000000,4,-0.002876282,-0.002974615,-0.000098333,-0.063781738,-0.008034500,0.055747239,24.000000,2.250000,,-0.127636432,-0.042802811,0.123071298,-0.004565135,q_final,,,1.000000
1782898564.651298,trajectory,0.175439,1.000000,0.000000,5,0.001726151,0.000532973,-0.001193178,0.026687622,-0.026295550,-0.052983172,15.000000,1.500000,,0.001971292,-0.055756569,-0.097372421,-0.095401129,q_final,,,1.000000
1782898564.651298,trajectory,0.175439,1.000000,0.000000,6,-0.009778976,-0.008666345,0.001112632,-0.008560181,0.012163330,0.020723510,12.000000,1.000000,,0.005188916,0.001068115,0.034075092,0.039264008,q_final,,,1.000000
1782898564.663261,trajectory,0.187367,1.000000,0.000000,1,0.008245468,0.009149719,0.000904251,0.083923340,0.014096806,-0.069826534,35.000000,5.000000,,0.540500943,0.127885818,-0.317483888,0.223017055,q_final,,,1.000000
1782898564.663261,trajectory,0.187367,1.000000,0.000000,2,-0.012846947,-0.010996758,0.001850189,0.030822754,-0.001039763,-0.031862517,25.000000,5.800000,,-0.042324523,0.207824707,-0.138547876,-0.180872399,q_final,,,1.000000
